IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.88.159.154,2052,80,FALSE,ORD,North America,Chicago,211,50
35.88.159.154,2086,80,FALSE,ORD,North America,Chicago,216,50
34.222.13.3,8880,80,FALSE,ORD,North America,Chicago,198,50
35.88.159.154,2082,80,FALSE,ORD,North America,Chicago,202,50
34.214.182.217,8880,80,FALSE,ORD,North America,Chicago,197,50
35.88.159.154,8443,80,FALSE,ORD,North America,Chicago,202,50
35.88.159.154,443,80,FALSE,ORD,North America,Chicago,200,50
35.88.159.154,2096,80,FALSE,ORD,North America,Chicago,202,50
13.126.235.39,2082,80,FALSE,ORD,North America,Chicago,71,50
13.126.235.39,2053,80,FALSE,ORD,North America,Chicago,135,50
13.126.235.39,2096,80,FALSE,ORD,North America,Chicago,285,50
15.206.179.225,2095,80,FALSE,ORD,North America,Chicago,212,50
15.206.179.225,2052,80,FALSE,ORD,North America,Chicago,176,50
15.206.179.225,8880,80,FALSE,ORD,North America,Chicago,122,50
15.206.179.225,2086,80,FALSE,ORD,North America,Chicago,283,50
15.206.179.225,2083,80,FALSE,ORD,North America,Chicago,180,50
15.206.179.225,8443,80,FALSE,ORD,North America,Chicago,166,50
15.206.179.225,2082,80,FALSE,ORD,North America,Chicago,173,50
15.206.179.225,80,80,FALSE,ORD,North America,Chicago,289,50
15.206.179.225,443,80,FALSE,ORD,North America,Chicago,180,50
15.206.179.225,2087,80,FALSE,ORD,North America,Chicago,164,50
13.233.28.21,2086,80,FALSE,ORD,North America,Chicago,75,50
13.233.28.21,2096,80,FALSE,ORD,North America,Chicago,151,50
13.233.28.21,8880,80,FALSE,ORD,North America,Chicago,148,50
13.233.28.21,443,80,FALSE,ORD,North America,Chicago,145,50
13.233.28.21,80,80,FALSE,ORD,North America,Chicago,155,50
13.233.28.21,2082,80,FALSE,ORD,North America,Chicago,101,50
13.233.28.21,2095,80,FALSE,ORD,North America,Chicago,178,50
13.233.28.21,2052,80,FALSE,ORD,North America,Chicago,146,50
13.233.28.21,8443,80,FALSE,ORD,North America,Chicago,123,50
13.233.28.21,2087,80,FALSE,ORD,North America,Chicago,76,50
3.8.91.246,2087,80,FALSE,ORD,North America,Chicago,170,50
18.175.233.222,2052,80,FALSE,ORD,North America,Chicago,179,50
54.184.216.250,443,80,FALSE,ORD,North America,Chicago,199,50
13.215.211.239,8080,80,FALSE,SIN,Asia Pacific,Singapore,2,50
13.215.80.221,2096,80,FALSE,SIN,Asia Pacific,Singapore,18,50
96.0.147.114,443,80,FALSE,MNL,Asia Pacific,Manila,28,50
96.0.147.114,80,80,FALSE,MNL,Asia Pacific,Manila,30,50
96.0.147.32,80,80,FALSE,MNL,Asia Pacific,Manila,30,50
96.0.147.210,80,80,FALSE,MNL,Asia Pacific,Manila,30,50
16.162.177.179,2095,80,FALSE,HKG,Asia Pacific,Hong Kong,34,50
13.238.235.196,2052,80,FALSE,SYD,Oceania,Sydney,93,50
13.55.59.224,2053,80,FALSE,SYD,Oceania,Sydney,93,50
54.79.10.40,2087,80,FALSE,SYD,Oceania,Sydney,94,50
13.238.235.196,2086,80,FALSE,SYD,Oceania,Sydney,94,50
13.236.104.165,2052,80,FALSE,SYD,Oceania,Sydney,97,50
13.238.235.196,2096,80,FALSE,SYD,Oceania,Sydney,98,50
13.238.235.196,2053,80,FALSE,SYD,Oceania,Sydney,99,50
54.251.118.130,2095,80,FALSE,SIN,Asia Pacific,Singapore,102,50
