IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.150.146.140,443,443,true,IAD,North America,Ashburn,296,7.66
34.91.136.173,443,443,true,AMS,Europe,Amsterdam,416,7.60
34.91.136.173,443,443,true,AMS,Europe,Amsterdam,489,7.55
34.90.238.89,443,443,true,AMS,Europe,Amsterdam,346,7.48
34.22.142.117,443,443,true,CDG,Europe,Paris,467,7.45
34.90.238.89,443,443,true,AMS,Europe,Amsterdam,351,7.30
34.175.202.195,443,443,true,MAD,Europe,Madrid,521,6.76
34.88.33.107,443,443,true,FRA,Europe,Frankfurt,300,6.33
35.228.36.82,443,443,true,ARN,Europe,Stockholm,444,6.26
34.88.33.107,443,443,true,FRA,Europe,Frankfurt,429,6.25
34.88.33.107,443,443,true,FRA,Europe,Frankfurt,334,6.22
34.88.33.107,443,443,true,FRA,Europe,Frankfurt,309,5.96
34.90.238.89,443,443,true,AMS,Europe,Amsterdam,372,5.22
34.90.238.89,443,443,true,AMS,Europe,Amsterdam,345,0.77
35.200.238.235,443,443,true,BOM,Asia Pacific,Mumbai,210,0.48
35.200.238.235,443,443,true,BOM,Asia Pacific,Mumbai,354,0.44
35.200.238.235,443,443,true,BOM,Asia Pacific,Mumbai,326,0.42
34.82.76.253,80,80,false,SEA,North America,Seattle,210,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,208,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,192,0.00
34.105.49.234,80,80,false,SEA,North America,Seattle,652,0.00
34.49.1.210,80,80,false,SIN,Asia Pacific,Singapore,17,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,74,0.00
35.187.229.127,80,8080,false,SIN,Asia Pacific,Singapore,76,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,Singapore,77,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,78,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,Singapore,83,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,88,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,93,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,113,0.00
34.142.133.116,443,80,false,SIN,Asia Pacific,Singapore,126,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,Singapore,135,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,137,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,141,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,153,0.00
34.49.82.120,80,80,false,SIN,Asia Pacific,Singapore,154,0.00
35.197.89.213,80,80,false,SEA,North America,Seattle,157,0.00
34.82.90.65,80,80,false,SEA,North America,Seattle,158,0.00
34.82.90.65,443,80,false,SEA,North America,Seattle,160,0.00
34.141.221.33,2095,80,false,AMS,Europe,Amsterdam,161,0.00
34.147.101.117,2052,80,false,AMS,Europe,Amsterdam,161,0.00
34.141.221.33,2096,80,false,AMS,Europe,Amsterdam,163,0.00
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,163,0.00
34.141.221.33,2052,80,false,AMS,Europe,Amsterdam,163,0.00
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,164,0.00
34.147.82.194,2053,80,false,AMS,Europe,Amsterdam,164,0.00
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,164,0.00
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,164,0.00
34.141.248.249,2083,80,false,AMS,Europe,Amsterdam,164,0.00
34.141.248.249,2095,80,false,AMS,Europe,Amsterdam,165,0.00
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,165,0.00
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,165,0.00
34.141.221.33,2083,80,false,AMS,Europe,Amsterdam,165,0.00
35.187.41.171,2083,80,false,CDG,Europe,Paris,165,0.00
34.141.248.249,2082,80,false,AMS,Europe,Amsterdam,167,0.00
34.82.90.65,80,80,false,SEA,North America,Seattle,167,0.00
34.82.90.65,443,80,false,SEA,North America,Seattle,169,0.00
34.141.221.33,2087,80,false,AMS,Europe,Amsterdam,169,0.00
34.141.248.249,2086,80,false,AMS,Europe,Amsterdam,172,0.00
34.141.221.33,2053,80,false,AMS,Europe,Amsterdam,173,0.00
34.141.221.33,2082,80,false,AMS,Europe,Amsterdam,174,0.00
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,174,0.00
34.147.101.117,2087,80,false,SYD,Oceania,Sydney,174,0.00
34.141.221.33,2086,80,false,AMS,Europe,Amsterdam,176,0.00
34.141.248.249,2053,80,false,AMS,Europe,Amsterdam,178,0.00
34.141.248.249,2052,80,false,AMS,Europe,Amsterdam,179,0.00
34.169.99.216,80,80,false,SEA,North America,Seattle,179,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,181,0.00
34.105.49.234,80,80,false,SEA,North America,Seattle,190,0.00
35.232.39.116,80,80,false,DFW,North America,Dallas,193,0.00
34.82.90.65,443,80,false,SEA,North America,Seattle,196,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,Singapore,198,0.00
34.29.53.24,8080,80,false,ORD,North America,Chicago,199,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,202,0.00
34.82.90.65,80,80,false,SEA,North America,Seattle,206,0.00
34.82.90.65,80,80,false,SEA,North America,Seattle,206,0.00
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,218,0.00
34.139.228.156,80,80,false,ATL,North America,Atlanta,218,0.00
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,221,0.00
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,224,0.00
34.147.101.117,2052,80,false,AMS,Europe,Amsterdam,225,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,226,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,228,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,236,0.00
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,246,0.00
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,249,0.00
34.142.133.116,80,80,false,SIN,Asia Pacific,Singapore,251,0.00
35.188.87.85,80,8080,false,ORD,North America,Chicago,251,0.00
34.147.82.194,2053,80,false,AMS,Europe,Amsterdam,253,0.00
34.82.90.65,443,80,false,SEA,North America,Seattle,257,0.00
34.147.101.117,2087,80,false,SYD,Oceania,Sydney,257,0.00
34.29.53.24,8080,80,false,ORD,North America,Chicago,265,0.00
34.141.248.249,2096,80,false,AMS,Europe,Amsterdam,266,0.00
34.141.248.249,2087,80,false,AMS,Europe,Amsterdam,271,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,273,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,Singapore,374,0.00
