IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
4.221.60.243,8443,443,true,JNB,Africa,ZA,Johannesburg,182,10.20
4.182.90.213,443,443,true,FRA,Europe,DE,Frankfurt,348,10.16
4.255.56.137,443,443,true,IAD,North America,US,Ashburn,348,10.12
20.25.205.37,2053,443,true,ORD,North America,US,Chicago,561,10.07
74.249.233.213,443,443,true,ORD,North America,US,Chicago,425,9.99
20.127.201.36,443,443,true,IAD,North America,US,Ashburn,384,9.69
20.221.32.145,443,443,true,ORD,North America,US,Chicago,338,9.54
20.246.127.166,443,443,true,IAD,North America,US,Ashburn,390,9.13
4.255.56.138,443,443,true,IAD,North America,US,Ashburn,476,8.92
48.217.34.120,443,443,true,IAD,North America,US,Ashburn,441,8.91
158.23.81.224,8443,443,true,DFW,North America,US,Dallas,282,8.89
20.25.205.37,8443,443,true,ORD,North America,US,Chicago,493,8.82
130.0.239.147,2053,443,true,KBP,Europe,UA,Kyiv,252,8.50
13.68.186.91,443,443,true,IAD,North America,US,Ashburn,338,8.37
20.228.249.211,8443,443,true,IAD,North America,US,Ashburn,360,8.33
20.185.45.204,443,443,true,IAD,North America,US,Ashburn,317,8.31
20.121.115.188,443,443,true,IAD,North America,US,Ashburn,310,8.27
20.36.131.211,443,443,true,IAD,North America,US,Ashburn,420,8.17
20.151.238.192,8443,443,true,YYZ,North America,CA,Toronto,281,8.05
20.84.117.28,443,443,true,IAD,North America,US,Ashburn,446,7.91
104.46.111.142,8443,443,true,IAD,North America,US,Ashburn,422,7.90
40.79.73.114,8443,443,true,IAD,North America,US,Ashburn,300,7.89
104.210.3.231,8443,443,true,IAD,North America,US,Ashburn,266,7.88
104.46.101.90,8443,443,true,IAD,North America,US,Ashburn,345,7.88
20.109.23.42,443,443,true,IAD,North America,US,Ashburn,487,7.83
4.206.223.188,8443,443,true,YYZ,North America,CA,Toronto,277,7.81
4.172.225.98,8443,443,true,YYZ,North America,CA,Toronto,320,7.79
20.151.63.165,8443,443,true,YYZ,North America,CA,Toronto,310,7.74
172.191.74.198,443,443,true,IAD,North America,US,Ashburn,263,7.67
4.172.225.82,8443,443,true,YYZ,North America,CA,Toronto,350,7.63
20.228.249.211,2053,443,true,IAD,North America,US,Ashburn,389,7.56
20.200.127.8,8443,443,true,YYZ,North America,CA,Toronto,427,7.51
4.248.47.209,8443,443,true,YUL,North America,CA,Montréal,273,7.49
172.177.248.69,8443,443,true,IAD,North America,US,Ashburn,348,7.40
20.233.36.158,8443,443,true,BOM,Asia Pacific,IN,Mumbai,91,7.40
40.123.42.160,8443,443,true,IAD,North America,US,Ashburn,530,7.34
4.239.248.70,8443,443,true,YYZ,North America,CA,Toronto,389,7.20
172.174.249.255,443,443,true,IAD,North America,US,Ashburn,341,7.08
20.151.90.208,8443,443,true,YYZ,North America,CA,Toronto,389,7.03
20.62.172.88,443,443,true,IAD,North America,US,Ashburn,293,6.89
130.0.239.147,8443,443,true,KBP,Europe,UA,Kyiv,242,6.83
40.123.47.252,8443,443,true,IAD,North America,US,Ashburn,317,6.76
40.123.41.147,8443,443,true,IAD,North America,US,Ashburn,353,6.71
20.151.60.161,8443,443,true,YYZ,North America,CA,Toronto,329,6.62
40.123.47.225,8443,443,true,IAD,North America,US,Ashburn,380,6.25
4.152.146.92,443,443,true,IAD,North America,US,Ashburn,365,6.17
4.152.146.110,443,443,true,IAD,North America,US,Ashburn,269,5.99
191.235.86.71,8443,443,true,GRU,South America,BR,São Paulo,408,4.21
191.235.86.71,2053,443,true,GRU,South America,BR,São Paulo,463,4.05
20.74.223.241,443,443,true,ORD,North America,US,Chicago,423,3.97
130.0.239.23,443,443,true,KBP,Europe,UA,Kyiv,244,2.48
20.6.159.95,443,443,true,HKG,Asia Pacific,HK,Hong Kong,205,1.61
20.41.104.196,443,443,true,ICN,Asia Pacific,KR,Seoul,163,1.27
20.62.202.159,443,443,true,IAD,North America,US,Ashburn,394,0.39
20.204.43.57,80,443,false,BOM,Asia Pacific,IN,Mumbai,52,0.05
137.116.251.154,80,443,false,DUB,Europe,IE,Dublin,161,0.02
13.90.157.110,80,443,false,IAD,North America,US,Ashburn,222,0.02
52.226.76.91,80,443,false,IAD,North America,US,Ashburn,261,0.02
20.222.243.172,80,80,false,NRT,Asia Pacific,JP,Tokyo,68,0.00
20.48.5.180,80,80,false,NRT,Asia Pacific,JP,Tokyo,72,0.00
48.218.145.36,80,80,false,NRT,Asia Pacific,JP,Tokyo,91,0.00
20.222.243.172,443,80,false,NRT,Asia Pacific,JP,Tokyo,127,0.00
51.140.154.44,2086,2086,false,LHR,Europe,GB,London,150,0.00
51.140.191.188,2086,2086,false,LHR,Europe,GB,London,151,0.00
40.66.63.160,80,80,false,CDG,Europe,FR,Paris,151,0.00
104.40.244.228,80,80,false,AMS,Europe,NL,Amsterdam,151,0.00
51.140.44.206,2086,2086,false,LHR,Europe,GB,London,157,0.00
20.58.24.221,2086,2086,false,LHR,Europe,GB,London,159,0.00
51.143.162.160,80,80,false,LHR,Europe,GB,London,160,0.00
13.95.193.125,80,443,false,AMS,Europe,NL,Amsterdam,167,0.00
51.141.162.228,80,80,false,SEA,North America,US,Seattle,170,0.00
20.223.196.107,80,80,false,DUB,Europe,IE,Dublin,171,0.00
172.171.174.174,80,80,false,IAD,North America,US,Ashburn,218,0.00
20.119.73.200,80,80,false,IAD,North America,US,Ashburn,220,0.00
172.171.174.174,443,80,false,IAD,North America,US,Ashburn,221,0.00
74.235.55.225,80,80,false,IAD,North America,US,Ashburn,222,0.00
4.255.56.137,80,80,false,IAD,North America,US,Ashburn,224,0.00
48.216.217.172,80,80,false,IAD,North America,US,Ashburn,226,0.00
172.174.249.255,80,80,false,IAD,North America,US,Ashburn,246,0.00
4.255.56.138,80,80,false,IAD,North America,US,Ashburn,281,0.00
20.57.85.61,443,443,true,IAD,North America,US,Ashburn,392,0.00
